Samples,Pops,Long,Lat,wc2.1_30s_bio_1,TwaQ,wc2.1_30s_bio_11,wc2.1_30s_bio_12,PWQ,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,ISO,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,TweQ,wc2.1_30s_bio_9
rg98,LAR,-99.55152,27.61221,22.6708335876465,30.2333335876465,13.9499998092651,475,72,16,47.5885314941406,177,63,134,66,13.375,42.5955429077148,661.782897949219,37.5,6.09999990463257,31.3999996185303,27.1833324432373,15.9500007629395
rsd10,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd11,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd12,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd13,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd14,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd15,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd22,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd23,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd24,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd25,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd26,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd27,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd28,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd44,RSD,-100.79284,29.07211,21.0541667938232,29.25,11.9166669845581,517,84,16,52.1017608642578,190,56,159,58,13.3583326339722,41.8756523132324,706.040344238281,36.2000007629395,4.30000019073486,31.9000015258789,26,12.6499996185303
rsd45,RSD,-100.79284,29.07211,21.0541667938232,29.25,11.9166669845581,517,84,16,52.1017608642578,190,56,159,58,13.3583326339722,41.8756523132324,706.040344238281,36.2000007629395,4.30000019073486,31.9000015258789,26,12.6499996185303
rsd46,RSD,-100.79284,29.07211,21.0541667938232,29.25,11.9166669845581,517,84,16,52.1017608642578,190,56,159,58,13.3583326339722,41.8756523132324,706.040344238281,36.2000007629395,4.30000019073486,31.9000015258789,26,12.6499996185303
rsd47,RSD,-100.79284,29.07211,21.0541667938232,29.25,11.9166669845581,517,84,16,52.1017608642578,190,56,159,58,13.3583326339722,41.8756523132324,706.040344238281,36.2000007629395,4.30000019073486,31.9000015258789,26,12.6499996185303
rsd48,RSD,-100.79284,29.07211,21.0541667938232,29.25,11.9166669845581,517,84,16,52.1017608642578,190,56,159,58,13.3583326339722,41.8756523132324,706.040344238281,36.2000007629395,4.30000019073486,31.9000015258789,26,12.6499996185303
rsd49,RSD,-100.79284,29.07211,21.0541667938232,29.25,11.9166669845581,517,84,16,52.1017608642578,190,56,159,58,13.3583326339722,41.8756523132324,706.040344238281,36.2000007629395,4.30000019073486,31.9000015258789,26,12.6499996185303
rsd50,RSD,-100.79284,29.07211,21.0541667938232,29.25,11.9166669845581,517,84,16,52.1017608642578,190,56,159,58,13.3583326339722,41.8756523132324,706.040344238281,36.2000007629395,4.30000019073486,31.9000015258789,26,12.6499996185303
rsd51,RSD,-100.79284,29.07211,21.0541667938232,29.25,11.9166669845581,517,84,16,52.1017608642578,190,56,159,58,13.3583326339722,41.8756523132324,706.040344238281,36.2000007629395,4.30000019073486,31.9000015258789,26,12.6499996185303
rsd8,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
rsd9,RSD,-100.688927,29.0700643,20.9916667938232,29.2000007629395,11.8166666030884,516,80,18,51.4259490966797,188,58,154,62,13.283332824707,41.6405448913574,708.053771972656,36.0999984741211,4.19999980926514,31.8999977111816,25.1833343505859,12.5666666030884
lc0-1,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc0-2,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc1-1,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc2-1,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc2-3,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc2-4,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
lc2-5,LWC,-102.118417,29.801639,20.7749996185303,29.6166648864746,10.7333335876465,311,55,7,57.7175407409668,136,31,107,34,15.3333330154419,43.4372062683105,770.644653320312,36.7999992370605,1.5,35.2999992370605,26.1166667938232,12.966667175293
